index,distance,classify_label,real_label
3835,75,1,0
3837,69,1,0
3839,46,1,0
3841,84,1,0
3842,-48,0,1
3843,46,1,0
3845,87,1,0
3846,155,1,1
3847,73,1,0
3849,58,1,1
3850,11,1,0
3851,198,1,0
3852,-118,0,1
3853,69,1,1
3854,-113,0,0
3855,224,1,0
3856,-171,0,1
3857,100,1,0
3858,51,1,1
3859,199,1,0
3860,-56,0,1
3861,77,1,0
3862,-12,0,1
3863,135,1,0
3864,46,1,1
3865,110,1,0
3866,-66,0,1
3867,287,1,0
3868,-152,0,1
3869,168,1,0
3870,-33,0,1
3871,136,1,0
3872,-106,0,1
3873,135,1,0
3874,-32,0,1
3875,90,1,0
3876,-115,0,1
3877,-88,0,0
3878,132,1,1
3879,122,1,0
3880,-60,0,1
3881,-10,0,0
3882,113,1,1
3883,149,1,0
3884,-83,0,1
3885,-122,0,0
3886,134,1,1
3887,102,1,0
3888,-78,0,1
3889,-78,0,0
3890,106,1,1
3891,157,1,0
3892,-77,0,1
3893,-72,0,0
3894,95,1,1
3895,163,1,0
3896,-33,0,1
3897,14,1,1
3898,75,1,0
3899,165,1,0
3900,-3,0,1
3901,76,1,1
3902,103,1,0
3903,139,1,0
3904,-10,0,1
3905,97,1,1
3906,-15,0,0
3907,126,1,0
3908,-13,0,1
3909,-94,0,1
3910,131,1,0
3911,318,1,0
3912,-63,0,1
3913,-28,0,1
3914,100,1,0
3915,220,1,0
3916,-41,0,1
3917,-24,0,1
3918,97,1,0
3919,148,1,0
3920,-80,0,1
3921,8,1,1
3922,49,1,0
3923,161,1,0
3924,153,1,1
3925,-2,0,1
3926,95,1,0
3927,-11,0,0
3928,101,1,1
3929,-9,0,1
3930,112,1,0
3931,-42,0,0
3932,189,1,1
3933,-70,0,1
3934,74,1,0
3935,212,1,0
3936,-85,0,1
3937,-31,0,1
3938,73,1,0
3939,283,1,0
3940,-142,0,1
3941,-99,0,1
3942,109,1,0
3943,170,1,0
3944,-76,0,1
3945,-60,0,1
3946,74,1,0
3947,199,1,0
3948,-86,0,1
3949,-109,0,1
3950,50,1,0
3951,220,1,0
3952,150,1,1
3953,16,1,1
3954,75,1,0
3955,183,1,0
3956,-128,0,1
3957,-31,0,1
3958,44,1,0
3959,311,1,0
3960,159,1,1
