index,distance,classify_label,real_label
960,-184239,0,0
961,17466,1,0
962,152285,1,0
963,-167767,0,0
964,-47975,0,0
965,-188430,0,0
966,100789,1,0
967,-21094,0,0
968,422329,1,0
969,-65989,0,0
970,90472,1,0
971,-1345,0,0
972,229230,1,0
973,-185934,0,0
974,-497620,0,0
975,177456,1,0
976,-163732,0,0
977,-67522,0,0
978,171546,1,0
979,11354,1,0
980,101224,1,0
981,-347595,0,0
982,-90059,0,0
983,-145435,0,0
984,-116730,0,0
985,-32955,0,0
986,312555,1,0
987,-185598,0,0
988,-453063,0,0
989,17916,1,0
990,-67329,0,0
991,126747,1,0
992,14535,1,0
993,-107592,0,0
994,356000,1,0
995,-671208,0,0
996,1758,1,0
997,162953,1,0
998,-7655,0,0
999,373488,1,0
1000,182363,1,0
1001,-797509,0,0
1002,215024,1,0
1003,-80117,0,0
1004,584545,1,0
1005,-118066,0,0
1006,-181317,0,0
1007,-55216,0,0
1008,-51961,0,0
1009,514020,1,0
1010,-636,0,0
1011,-12808,0,0
1012,-470525,0,0
1013,118855,1,0
1014,-610118,0,0
1015,103484,1,0
1016,72436,1,0
1017,1358,1,0
1018,-92554,0,0
1019,-1436,0,0
1020,-6113,0,1
1021,-13457,0,1
1022,22071,1,1
1023,16977,1,1
1024,13670,1,1
1025,-151334,0,1
1026,-152834,0,1
1027,-79782,0,1
1028,-321893,0,1
1029,363170,1,1
1030,63629,1,1
1031,30482,1,1
1032,65926,1,1
1033,-80446,0,1
1034,38515,1,1
1035,49360,1,1
1036,99917,1,1
1037,15012,1,1
1038,-105486,0,1
1039,-7564,0,1
1040,-41416,0,1
1041,79644,1,1
1042,8599,1,1
1043,38779,1,1
1044,17764,1,1
1045,8547,1,1
1046,-39479,0,1
1047,19509,1,1
1048,-48478,0,1
1049,40335,1,1
1050,121992,1,1
1051,47323,1,1
1052,42088,1,1
1053,-17960,0,1
1054,59936,1,1
1055,-21455,0,1
1056,129482,1,1
1057,-52821,0,1
1058,73508,1,1
1059,19997,1,1
1060,-80313,0,1
1061,176266,1,1
1062,123748,1,1
1063,35127,1,1
1064,1841,1,1
1065,1689,1,1
1066,-6906,0,1
1067,54260,1,1
1068,125438,1,1
1069,-44187,0,1
1070,88403,1,1
1071,-347,0,1
1072,52805,1,1
1073,-15980,0,1
1074,68417,1,1
1075,-44586,0,1
1076,16399,1,1
1077,-10536,0,1
1078,-13235,0,1
1079,-161349,0,1
1080,658438,1,1
1081,-126885,0,1
1082,50149,1,1
1083,209402,1,1
1084,-140759,0,1
1085,-657658,0,1
1086,47650,1,1
1087,141039,1,1
1088,-578643,0,1
1089,22125,1,1
1090,-51735,0,1
1091,159833,1,1
1092,-3309,0,1
1093,-10388,0,1
1094,49314,1,1
1095,601675,1,1
1096,64424,1,1
1097,-69579,0,1
1098,85130,1,1
1099,21292,1,1
1100,76457,1,1
1101,933004,1,1
1102,700850,1,1
1103,-114143,0,1
1104,-3914,0,1
1105,-48276,0,1
1106,-90204,0,1
1107,31007,1,1
1108,-754134,0,1
1109,891947,1,1
1110,-514841,0,1
1111,131725,1,1
1112,897836,1,1
1113,-105939,0,1
1114,-362947,0,1
1115,-323356,0,1
1116,-464334,0,1
1117,-7863,0,1
1118,506645,1,1
1119,-77359,0,1
1120,-16101,0,1
1121,21729,1,1
1122,53339,1,1
1123,12981,1,1
1124,129986,1,1
1125,-21065,0,1
1126,-8246,0,1
1127,-132338,0,1
1128,-137464,0,1
1129,-53279,0,1
1130,-81820,0,1
1131,82075,1,1
1132,835782,1,1
1133,41555,1,1
1134,-271024,0,1
1135,65376,1,1
1136,9416,1,1
1137,9753,1,1
1138,-399749,0,1
1139,-71069,0,1
1140,151303,1,1
1141,766069,1,1
1142,734406,1,1
1143,-132610,0,1
1144,977436,1,1
1145,-1268689,0,1
1146,327018,1,1
1147,187557,1,1
1148,1387,1,1
1149,20945,1,1
1150,48464,1,1
1151,38609,1,1
1152,145281,1,1
1153,65775,1,1
1154,23552,1,1
1155,120120,1,1
1156,6297,1,1
1157,14617,1,1
1158,-62673,0,1
1159,331545,1,1
1160,87425,1,1
1161,-11208,0,1
1162,-94009,0,1
1163,94347,1,1
1164,-775,0,1
1165,-174467,0,1
1166,-29621,0,1
1167,-157509,0,1
1168,129985,1,1
1169,23219,1,1
1170,-56285,0,1
1171,109946,1,1
1172,-80264,0,1
1173,25667,1,1
1174,-10464,0,1
1175,26254,1,1
1176,-117298,0,1
1177,197832,1,1
1178,12643,1,1
1179,14399,1,1
1180,-28099,0,1
1181,30822,1,1
1182,28692,1,1
1183,9924,1,1
1184,35417,1,1
1185,127936,1,1
1186,-160654,0,1
1187,4746,1,1
1188,-82079,0,1
1189,22714,1,1
1190,-2882,0,1
1191,637398,1,1
1192,1652,1,1
1193,-45285,0,1
1194,36579,1,1
1195,80976,1,1
1196,90697,1,1
1197,-36445,0,1
1198,-274162,0,1
1199,-270772,0,1
1200,-14778,0,1
1201,14320,1,1
1202,-20269,0,1
1203,-191225,0,1
1204,-319824,0,1
1205,439897,1,1
1206,26269,1,1
1207,470892,1,1
1208,-100380,0,1
1209,-14918,0,1
1210,23294,1,1
1211,-23107,0,1
1212,72181,1,1
1213,17441,1,1
1214,-29318,0,1
1215,100376,1,1
1216,-42792,0,1
1217,-35953,0,1
1218,455080,1,1
1219,-30734,0,1
1220,60564,1,1
1221,74398,1,1
1222,54965,1,1
1223,79419,1,1
1224,96821,1,1
1225,-131220,0,1
1226,81668,1,1
1227,52443,1,1
1228,441036,1,1
1229,10118,1,1
1230,351072,1,1
1231,-12606,0,1
1232,38076,1,1
1233,153251,1,1
1234,-29541,0,1
1235,16288,1,1
1236,163483,1,1
1237,-107512,0,1
1238,-21905,0,1
1239,-698053,0,1
1240,83947,1,1
1241,-30925,0,1
1242,34471,1,1
1243,-95509,0,1
1244,90757,1,1
1245,-172700,0,1
1246,558017,1,1
1247,50321,1,1
1248,-26011,0,1
1249,120452,1,1
1250,-207950,0,1
1251,369521,1,1
1252,47755,1,1
1253,-42028,0,1
1254,-12330,0,1
1255,-8860,0,1
1256,-159228,0,1
1257,-105036,0,1
1258,-75280,0,1
1259,107606,1,1
1260,-29729,0,1
1261,-150978,0,1
1262,77357,1,1
1263,50587,1,1
1264,-121547,0,1
1265,25094,1,1
1266,2795,1,1
1267,-132154,0,1
1268,449959,1,1
1269,-10304,0,1
1270,10199,1,1
1271,-106723,0,1
1272,-213210,0,1
1273,602037,1,1
1274,247,1,1
1275,113126,1,1
1276,26765,1,1
1277,-124272,0,1
1278,38887,1,1
1279,106621,1,1
1280,329245,1,1
1281,-656536,0,1
1282,-35734,0,1
1283,151569,1,1
1284,-6588,0,1
1285,215105,1,1
1286,-443833,0,1
1287,-14116,0,1
1288,146747,1,1
1289,-12381,0,1
1290,-154673,0,1
1291,152715,1,1
1292,-20988,0,1
1293,213681,1,1
1294,214433,1,1
1295,78968,1,1
1296,-6018,0,1
1297,-144559,0,1
1298,1125366,1,1
1299,-349764,0,1
1300,-10930,0,1
1301,4300,1,1
1302,225,1,1
1303,210085,1,1
1304,117877,1,1
1305,303565,1,1
1306,-172190,0,1
1307,-2386,0,1
1308,-132762,0,1
1309,10078,1,1
1310,235197,1,1
1311,81781,1,1
1312,230114,1,1
1313,438986,1,1
1314,1854,1,1
1315,899833,1,1
1316,-181907,0,1
1317,106823,1,1
1318,-35814,0,1
1319,-342836,0,1
1320,113579,1,1
1321,-13104,0,1
1322,-100813,0,1
1323,738841,1,1
1324,117071,1,1
1325,139849,1,1
1326,-328412,0,1
1327,-45046,0,1
1328,-567439,0,1
