index,distance,classify_label,real_label
960,48382,1,0
961,13311,1,0
962,-22764,0,0
963,530385,1,0
964,-71792,0,0
965,-37605,0,0
966,-299771,0,0
967,64841,1,0
968,-408207,0,0
969,147937,1,0
970,-159996,0,0
971,-13331,0,0
972,314953,1,0
973,-156889,0,0
974,-268038,0,0
975,-98721,0,0
976,653905,1,0
977,-61564,0,0
978,391367,1,0
979,47818,1,0
980,-13577,0,0
981,534083,1,0
982,-21080,0,0
983,-79987,0,0
984,-49958,0,0
985,-542,0,0
986,422898,1,0
987,67484,1,0
988,-111278,0,0
989,-14967,0,0
990,6417,1,0
991,38075,1,0
992,212712,1,0
993,159728,1,0
994,-338050,0,0
995,370316,1,0
996,-74267,0,0
997,520106,1,0
998,128481,1,0
999,-57695,0,0
1000,48382,1,0
1001,179868,1,0
1002,-73359,0,0
1003,11001,1,0
1004,-358292,0,0
1005,105018,1,0
1006,60456,1,0
1007,-679739,0,0
1008,131779,1,0
1009,-191609,0,0
1010,-23259,0,0
1011,18446,1,0
1012,75917,1,0
1013,-57897,0,0
1014,64539,1,0
1015,-34870,0,0
1016,32844,1,0
1017,-24314,0,0
1018,11117,1,0
1019,-10550,0,0
1020,37266,1,1
1021,66629,1,1
1022,-47267,0,1
1023,24328,1,1
1024,-4282,0,1
1025,225647,1,1
1026,50012,1,1
1027,59442,1,1
1028,101664,1,1
1029,7934,1,1
1030,113103,1,1
1031,-68933,0,1
1032,-4136,0,1
1033,34219,1,1
1034,623,1,1
1035,-6033,0,1
1036,109494,1,1
1037,72760,1,1
1038,36523,1,1
1039,-7904,0,1
1040,42854,1,1
1041,51283,1,1
1042,40184,1,1
1043,21926,1,1
1044,19330,1,1
1045,12756,1,1
1046,29793,1,1
1047,32851,1,1
1048,69154,1,1
1049,19012,1,1
1050,14028,1,1
1051,34918,1,1
1052,-4428,0,1
1053,32188,1,1
1054,14956,1,1
1055,-13554,0,1
1056,-19624,0,1
1057,45188,1,1
1058,-24683,0,1
1059,42792,1,1
1060,54888,1,1
1061,-600950,0,1
1062,47529,1,1
1063,8144,1,1
1064,-1883,0,1
1065,36641,1,1
1066,134202,1,1
1067,-73239,0,1
1068,103508,1,1
1069,70123,1,1
1070,40600,1,1
1071,35894,1,1
1072,57673,1,1
1073,-55652,0,1
1074,23639,1,1
1075,19160,1,1
1076,-10027,0,1
1077,44575,1,1
1078,54620,1,1
1079,-67295,0,1
1080,-434549,0,1
1081,175520,1,1
1082,-6629,0,1
1083,120461,1,1
1084,49108,1,1
1085,-289773,0,1
1086,2727,1,1
